,Name,Fibre Volume Fraction,Material,Test type,"smax,static","smax, fatigue",epsstatic,epsfatigue,Ncycles,Eit,Eic
0,GEV201_D0100_0001,,GE1,STC,-412.3711340206185,,-0.901,,1.0,,44.847
2,GEV201_D0100_0006,,GE1,STC,-405.2343564120865,,-0.885,,1.0,,45.844
4,GEV201_D0100_0011,,GE1,STC,-391.7062299234964,,-0.867,,1.0,,44.863
5,GEV201_D0100_0016,,GE1,STT,812.2481318292968,,2.104,,1.0,44.578,
7,GEV201_D0100_0021,,GE1,CA,,288.4146710774884,,0.642,791.0,45.024,
8,GEV201_D0100_0026,,GE1,CA,,285.41745156465845,,0.636,469.0,44.673,
9,GEV201_D0100_0031,,GE1,STT,859.0977904636057,,2.148,,1.0,44.911,
10,GEV201_R0100_0001,,GE1,STT,879.4726681881544,,,,1.0,39.43,
12,GEV201_R0100_0006,,GE1,STC,-470.5032185090782,,-1.191,,1.0,,39.781
14,GEV201_R0100_0011,,GE1,STT,841.8359550659908,,,,1.0,39.523,
16,GEV201_R0100_0016,,GE1,STC,-505.91416799295587,,-1.266,,1.0,,39.243
18,GEV201_R0100_0021,,GE1,STC,-593.4358725929515,,-1.496,,1.0,,40.075
20,GEV201_R0100_0026,,GE1,STT,751.7442297975725,,-1.96,,1.0,39.19,
22,GEV201_R0100_0031,,GE1,CA,,306.9908841249751,,0.765,13655.0,40.299,
24,GEV201_R0100_0036,,GE1,CA,,262.2675653701907,,0.658,24325.0,39.95,
26,GEV202_D0100_0001,,GE1,STT,712.2808794439866,,,,1.0,,
27,GEV202_D0100_0004,,GE1,CA,,493.84441925415814,,,100.0,,
28,GEV202_D0100_0006,,GE1,STT,688.8748680490677,,,,1.0,,
29,GEV202_D0100_0009,,GE1,CA,,305.4204494261913,,,46046.0,,
30,GEV202_D0100_0011,,GE1,CA,,229.64169007098226,,,82468.0,,
31,GEV202_D0100_0014,,GE1,CA,,302.4604400648173,,,23400.0,,
32,GEV202_D0100_0016,,GE1,CA,,267.2082086361693,,,9305.0,,
33,GEV202_D0100_0019,,GE1,CA,,262.4349161407971,,,173000.0,,
34,GEV202_D0100_0021,,GE1,STC,-420.8749128678034,,-1.137,,1.0,,37.454
35,GEV202_D0100_0026,,GE1,STC,-429.47938616539244,,-1.157,,1.0,,38.102
36,GEV202_D0100_0031,,GE1,STC,-394.7526147022686,,-1.08,,1.0,,37.959
38,GEV202_R0100_0006,,GE1,STT,689.6088836590255,,,,1.0,,
40,GEV202_R0100_0011,,GE1,STT,675.224736786876,,,,1.0,,
42,GEV202_R0100_0016,,GE1,CA,,249.12379602028298,,,11674.0,,
44,GEV202_R0100_0021,,GE1,CA,,248.73102759670755,,,9153.0,,
46,GEV202_R0100_0026,,GE1,STC,-485.7987567594885,,-1.399,,1.0,,34.364
48,GEV202_R0100_0031,,GE1,STC,-510.0514632140391,,-1.543,,1.0,,34.254
50,GEV202_R0100_0036,,GE1,STC,-509.4388553543483,,-1.537,,1.0,,35.017
54,GEV203_D0100_0011,,GE1,CA,,190.21677103226838,,,36165.0,,
55,GEV203_D0100_0016,,GE1,CA,,196.17844391258285,,,172.0,,
56,GEV203_D0100_0021,,GE1,STC,-499.64836129827944,,,,1.0,,
57,GEV203_D0100_0026,,GE1,STC,-496.2285054141198,,,,1.0,,
58,GEV203_D0100_0031,,GE1,STC,-443.83510965306004,,,,1.0,,
59,GEV203_R0100_0001,,GE1,STT,483.12603917535046,,,,1.0,,
62,GEV203_R0100_0016,,GE1,CA,,174.68443257255768,,,1283.0,,
63,GEV203_R0100_0021,,GE1,CA,,174.88274112207768,,,721.0,,
65,GEV203_R0100_0026,,GE1,STC,-463.96924014533585,,,,1.0,,
67,GEV203_R0100_0031,,GE1,STC,-489.042987850307,,,,1.0,,
